PRICE,HEIGHT,WIDTH,SIGNED,PICTURE,HOUSE ,Area =H * W,norm SIGNED,norm PICTURE,norm HOUUSE,norm HEIGHT,norm WIDTH,norm Area
3.99378,21.3,25.6,1,1,1,545.28,0.1,0.001,0.1,0.213,0.256,0.054528
8.8,31.9,25.6,1,2,2,816.64,0.1,0.002,0.2,0.319,0.256,0.081664
0.131694,6.9,15.9,0,3,3,109.71,0,0.003,0.3,0.069,0.159,0.010971
2.0375,25.7,32,1,4,2,822.4,0.1,0.004,0.2,0.257,0.32,0.08224
1.4875,25.7,32,1,4,2,822.4,0.1,0.004,0.2,0.257,0.32,0.08224
1.87,25.6,31.9,1,4,1,816.64,0.1,0.004,0.1,0.256,0.319,0.081664
5.2825,25.5,35.6,1,5,1,907.8,0.1,0.005,0.1,0.255,0.356,0.09078
5.06575,26,34.3,1,5,2,891.8,0.1,0.005,0.2,0.26,0.343,0.08918
1.375,25.6,36.2,1,5,2,926.72,0.1,0.005,0.2,0.256,0.362,0.092672
2.53,25.6,36.4,1,6,2,931.84,0.1,0.006,0.2,0.256,0.364,0.093184
3.7425,25.6,36.4,1,6,2,931.84,0.1,0.006,0.2,0.256,0.364,0.093184
0.364343,25.6,36.2,1,7,2,926.72,0.1,0.007,0.2,0.256,0.362,0.092672
2.72387,31.9,39.4,1,8,2,1256.86,0.1,0.008,0.2,0.319,0.394,0.125686
3.52,23.6,31.9,1,9,1,752.84,0.1,0.009,0.1,0.236,0.319,0.075284
0.4975,19.5,25,1,10,2,487.5,0.1,0.01,0.2,0.195,0.25,0.04875
9.35,32.7,26.8,1,11,1,876.36,0.1,0.011,0.1,0.327,0.268,0.087636
1.2195,25.5,36,1,12,2,918,0.1,0.012,0.2,0.255,0.36,0.0918
0.407,25.6,39.4,1,12,2,1008.64,0.1,0.012,0.2,0.256,0.394,0.100864
3.71339,25.6,36.2,1,13,3,926.72,0.1,0.013,0.3,0.256,0.362,0.092672
5.296406,25.8,21.5,1,14,2,554.7,0.1,0.014,0.2,0.258,0.215,0.05547
2.862,21.4,28.9,1,15,2,618.46,0.1,0.015,0.2,0.214,0.289,0.061846
4.18,26,32.5,1,16,1,845,0.1,0.016,0.1,0.26,0.325,0.0845
2.48075,26,32.5,1,16,2,845,0.1,0.016,0.2,0.26,0.325,0.0845
0.237068,50,14.6,0,17,2,730,0,0.017,0.2,0.5,0.146,0.073
0.527446,22.7,28.1,1,18,1,637.87,0.1,0.018,0.1,0.227,0.281,0.063787
33.013504,35,39.4,1,19,2,1379,0.1,0.019,0.2,0.35,0.394,0.1379
0.035549,37.4,39.4,0,20,3,1473.56,0,0.02,0.3,0.374,0.394,0.147356
0.495,32.1,23.5,1,21,1,754.35,0.1,0.021,0.1,0.321,0.235,0.075435
1.078,32.1,23.5,1,21,1,754.35,0.1,0.021,0.1,0.321,0.235,0.075435
0.4315,25.7,36.4,0,22,2,935.48,0,0.022,0.2,0.257,0.364,0.093548
3.48,25.7,36.5,1,23,2,938.05,0.1,0.023,0.2,0.257,0.365,0.093805
0.4645,21.5,25.9,1,24,1,556.85,0.1,0.024,0.1,0.215,0.259,0.055685
1.65,25.6,31.9,1,25,1,816.64,0.1,0.025,0.1,0.256,0.319,0.081664
4.488,28.7,36.2,1,26,2,1038.94,0.1,0.026,0.2,0.287,0.362,0.103894
0.1565,23.7,23.7,0,27,2,561.69,0,0.027,0.2,0.237,0.237,0.056169
0.191346,23.6,23.6,0,27,2,556.96,0,0.027,0.2,0.236,0.236,0.055696
1.216,29.3,29.3,1,28,1,858.49,0.1,0.028,0.1,0.293,0.293,0.085849
0.7975,32,32.6,1,29,2,1043.2,0.1,0.029,0.2,0.32,0.326,0.10432
1.21,25.7,32,1,30,1,822.4,0.1,0.03,0.1,0.257,0.32,0.08224
0.699516,21.3,25.6,1,31,2,545.28,0.1,0.031,0.2,0.213,0.256,0.054528
0.762509,25.6,31.9,1,32,2,816.64,0.1,0.032,0.2,0.256,0.319,0.081664
0.760486,23.9,31.5,1,33,1,752.85,0.1,0.033,0.1,0.239,0.315,0.075285
0.8825,23.6,28.7,1,34,1,677.32,0.1,0.034,0.1,0.236,0.287,0.067732
3.74,32.3,23.6,1,35,2,762.28,0.1,0.035,0.2,0.323,0.236,0.076228
0.219005,19.7,22.4,0,36,2,441.28,0,0.036,0.2,0.197,0.224,0.044128
1.39062,23.6,31.5,1,37,2,743.4,0.1,0.037,0.2,0.236,0.315,0.07434
2.8695,23.6,28,1,38,1,660.8,0.1,0.038,0.1,0.236,0.28,0.06608
1.8725,21.3,25.8,1,39,2,549.54,0.1,0.039,0.2,0.213,0.258,0.054954
0.715,21.3,25.8,1,39,1,549.54,0.1,0.039,0.1,0.213,0.258,0.054954
2.31575,18.1,15,1,40,2,271.5,0.1,0.04,0.2,0.181,0.15,0.02715
5.97919,51.6,38.2,0,41,1,1971.12,0,0.041,0.1,0.516,0.382,0.197112
1.133311,21.7,25.6,1,42,1,555.52,0.1,0.042,0.1,0.217,0.256,0.055552
9.0225,24.4,31.5,1,43,1,768.6,0.1,0.043,0.1,0.244,0.315,0.07686
0.996,27.2,36.5,1,44,1,992.8,0.1,0.044,0.1,0.272,0.365,0.09928
0.762774,27.2,36.5,1,44,1,992.8,0.1,0.044,0.1,0.272,0.365,0.09928
0.996,36.3,28.9,1,45,1,1049.07,0.1,0.045,0.1,0.363,0.289,0.104907
3.559111,26,36.5,1,46,1,949,0.1,0.046,0.1,0.26,0.365,0.0949
0.9925,25.7,31.7,0,47,1,814.69,0,0.047,0.1,0.257,0.317,0.081469
3.5225,25.6,31.9,1,48,1,816.64,0.1,0.048,0.1,0.256,0.319,0.081664
0.33,25.8,32.1,0,49,2,828.18,0,0.049,0.2,0.258,0.321,0.082818
3.9625,25.5,31.7,1,50,1,808.35,0.1,0.05,0.1,0.255,0.317,0.080835
4.00037,28.7,39.4,1,51,1,1130.78,0.1,0.051,0.1,0.287,0.394,0.113078
0.77,26,31.9,1,52,2,829.4,0.1,0.052,0.2,0.26,0.319,0.08294
1.062026,23.6,31.9,1,53,1,752.84,0.1,0.053,0.1,0.236,0.319,0.075284
0.275,22.9,30.7,1,54,1,703.03,0.1,0.054,0.1,0.229,0.307,0.070303
0.792,23.6,29.1,1,55,2,686.76,0.1,0.055,0.2,0.236,0.291,0.068676
0.121,31.9,23.4,1,56,1,746.46,0.1,0.056,0.1,0.319,0.234,0.074646
1.403601,51.2,35,1,57,1,1792,0.1,0.057,0.1,0.512,0.35,0.1792
2.0375,21.1,24.2,1,58,1,510.62,0.1,0.058,0.1,0.211,0.242,0.051062
3.502784,21.1,24.2,1,58,1,510.62,0.1,0.058,0.1,0.211,0.242,0.051062
1.094111,25.6,39.4,0,59,2,1008.64,0,0.059,0.2,0.256,0.394,0.100864
0.2665,46.6,14.5,0,60,2,675.7,0,0.06,0.2,0.466,0.145,0.06757
0.605,46.7,14.6,0,60,2,681.82,0,0.06,0.2,0.467,0.146,0.068182
0.77575,23.5,32,1,61,2,752,0.1,0.061,0.2,0.235,0.32,0.0752
0.736201,23,32,1,61,2,736,0.1,0.061,0.2,0.23,0.32,0.0736
6.1,51.8,34.8,1,62,1,1802.64,0.1,0.062,0.1,0.518,0.348,0.180264
2.2475,21.3,31.9,1,63,1,679.47,0.1,0.063,0.1,0.213,0.319,0.067947
1.8725,21.3,31.9,1,63,1,679.47,0.1,0.063,0.1,0.213,0.319,0.067947
0.825,21.3,28.7,1,64,1,611.31,0.1,0.064,0.1,0.213,0.287,0.061131
0.7975,24,19.7,1,65,2,472.8,0.1,0.065,0.2,0.24,0.197,0.04728
0.664657,50.6,14.6,1,66,2,738.76,0.1,0.066,0.2,0.506,0.146,0.073876
2.61835,46.9,14.4,1,66,3,675.36,0.1,0.066,0.3,0.469,0.144,0.067536
0.594,47.5,14.9,1,66,2,707.75,0.1,0.066,0.2,0.475,0.149,0.070775
0.27658,50.6,14.6,1,66,2,738.76,0.1,0.066,0.2,0.506,0.146,0.073876
15.4025,23.7,32.2,1,67,2,763.14,0.1,0.067,0.2,0.237,0.322,0.076314
25.4177,23.6,32.3,1,67,2,762.28,0.1,0.067,0.2,0.236,0.323,0.076228
0.323508,23.7,29.4,0,68,3,696.78,0,0.068,0.3,0.237,0.294,0.069678
0.165,23.6,28.7,0,68,1,677.32,0,0.068,0.1,0.236,0.287,0.067732
0.721,28.7,36.2,1,69,1,1038.94,0.1,0.069,0.1,0.287,0.362,0.103894
1.045,18.9,29.9,1,70,1,565.11,0.1,0.07,0.1,0.189,0.299,0.056511
1.155,23.6,31.9,1,71,2,752.84,0.1,0.071,0.2,0.236,0.319,0.075284
0.46,23.5,32,1,72,2,752,0.1,0.072,0.2,0.235,0.32,0.0752
2.86575,25.5,32,1,73,2,816,0.1,0.073,0.2,0.255,0.32,0.0816
0.770577,28.7,36.4,1,74,2,1044.68,0.1,0.074,0.2,0.287,0.364,0.104468
1.78923,23.2,31.5,1,75,3,730.8,0.1,0.075,0.3,0.232,0.315,0.07308
0.7725,23.6,31.9,1,76,2,752.84,0.1,0.076,0.2,0.236,0.319,0.075284
0.11,23.6,28.7,0,77,1,677.32,0,0.077,0.1,0.236,0.287,0.067732
